user,date,exercise,steps,bike ride,protein,calories,fat,sugar,carbs
Barnold,"Sunday, July 26, 2026",arms,13800,,150,2018,63,,
Barnold,"Monday, July 27, 2026",rest day,11500,,145,2100,68,,
Barnold,"Tuesday, July 28, 2026",rest day,13800,,141,2253,78,,
Barnold,"Wednesday, July 29, 2026",arms,12500,,154,2174,83,,
Barnold,"Thursday, July 30, 2026",bike,12200,7,147,2436,84,,250
Barnold,"Friday, July 31, 2026",rest day,12000,,117,2378,76,,270
Barnold,"Saturday, August 1, 2026",legs & core,11600,,145,2303,61,,325
Barnold,"Sunday, August 2, 2026",bike,17000,7,145,2615,69,,325
Barnold,"Monday, August 3, 2026",rest day,17000,,128,2320,73,,318
Barnold,"Tuesday, August 4, 2026",bike & arms,13600,10,164,2428,71,,313
Barnold,"Wednesday, August 5, 2026",rest day,9200,,131,2214,74,,270
Barnold,"Thursday, August 6, 2026",legs & core,12500,,147,2480,67,,330
Barnold,"Friday, August 7, 2026",bike,12000,7,131,2285,74,,255
Barnold,"Saturday, August 8, 2026",arms,10700,,143,2430,66,,299
Barnold,"Sunday, August 9, 2026",legs & core,15400,,138,2425,68,,336
Barnold,"Monday, August 10, 2026",bike,17300,10,166,2813,94,,338
Barnold,"Tuesday, August 11, 2026",rest day,9500,,152,2335,76,105,353
Barnold,"Wednesday, August 12, 2026",rest day,11600,,121,2205,64,85,280
Barnold,"Thursday, August 13, 2026",bike & arms,14000,5,136,2473,72,95,333
Barnold,"Friday, August 14, 2026",rest day,9700,,159,2389,72,111,341
Barnold,"Saturday, August 15, 2026",bike,12300,7,152,2525,87,117,330
Barnold,"Sunday, August 16, 2026",legs & core & achilles,10300,,139,2524,68,110,338
Barnold,"Monday, August 17, 2026",bike,12800,3.2,151,2465,81,125,358
Barnold,"Tuesday, August 18, 2026",rest day,11400,,143,2406,88,108,283
Barnold,"Wednesday, August 19, 2026",legs & core,9700,,144,2424,72,102,333
Barnold,"Thursday, August 20, 2026",bike,11600,7,134,2481,79,146,303
Barnold,"Friday, August 21, 2026",bike & arms,11500,3,144,2630,99,117,369
Barnold,"Saturday, August 22, 2026",rest day,11200,,146,2310,98,87,330
Barnold,"Sunday, August 23, 2026",legs & core,13300,,122,2745,92,124,425
Barnold,"Monday, August 24, 2026",rest day,10800,,143,2690,83,104,310
Barnold,"Tuesday, August 25, 2026",rest day,10700,,135,2418,75,82,319
Barnold,"Wednesday, August 26, 2026",legs & core & achilles,10700,,136,2300,75,99,328
Barnold,"Thursday, August 27, 2026",bike,11850,7,129,2100,78,85,302
Barnold,"Friday, August 28, 2026",rest day,8900,,132,2010,73,81,242
Barnold,"Saturday, August 29, 2026",bike,17400,7,125,2448,83,76,324
Barnold,"Sunday, August 30, 2026",arms,12800,,129,2426,73,86,333
Barnold,"Monday, August 31, 2026",legs & core & achilles,13600,,135,2466,77,106,325
Barnold,"Tuesday, September 1, 2026",rest day,10900,,136,2425,83,103,300
Barnold,"Wednesday, September 2, 2026",arms,6900,,96,1671,47,84,275
Barnold,"Thursday, September 3, 2026",rest day,12000,,139,2268,89,106,244
